BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=11, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017293976684454784, Train Acc: 0.8385413821360284
Test Loss: 0.005822340906408153, Test Acc: 0.985878175361923
Train Loss: 0.00010477159122895137, Train Acc: 0.9839114995902759
Test Loss: 0.005019296036956374, Test Acc: 0.9876809614859328
Train Loss: 9.942590947339832e-05, Train Acc: 0.9837749248839115
Test Loss: 0.005415162890518633, Test Acc: 0.9870254028953838
Train Loss: 9.454187275555007e-05, Train Acc: 0.9842665938268232
Test Loss: 0.004883738011774261, Test Acc: 0.9878175361922972
Train Loss: 9.88833540759515e-05, Train Acc: 0.9834744605299098
Test Loss: 0.004887873626375626, Test Acc: 0.98784485113357
Train Loss: 0.00010845853197613804, Train Acc: 0.9830920513520895
Test Loss: 0.004950513245738654, Test Acc: 0.987872166074843
Train Loss: 9.124601056299542e-05, Train Acc: 0.9839661294728216
Test Loss: 0.004833539795803258, Test Acc: 0.9877082764272057
Train Loss: 8.996212361807237e-05, Train Acc: 0.9843485386506419
Test Loss: 0.004733939932429554, Test Acc: 0.9880360557224802
Train Loss: 0.00010243842679281826, Train Acc: 0.9833105708822726
Test Loss: 0.004906265206125192, Test Acc: 0.9878994810161158
Train Loss: 8.860526797642615e-05, Train Acc: 0.9841846490030046
Test Loss: 0.00463419730280953, Test Acc: 0.98784485113357
Train Loss: 9.005882141051679e-05, Train Acc: 0.9848402075935537
Test Loss: 0.004943322978342487, Test Acc: 0.9875170718382955
Train Loss: 9.636647253752405e-05, Train Acc: 0.9839114995902759
Test Loss: 0.005017882115156416, Test Acc: 0.9877355913684785
Train Loss: 8.702550282645979e-05, Train Acc: 0.9845124282982791
Test Loss: 0.004601002333464945, Test Acc: 0.98784485113357
Train Loss: 8.990396372791473e-05, Train Acc: 0.9841573340617318
Test Loss: 0.004767614553487389, Test Acc: 0.9877629063097514
Train Loss: 9.015233040398634e-05, Train Acc: 0.9840207593553674
Test Loss: 0.00444391317537881, Test Acc: 0.9884457798415733
Train Loss: 9.067101305597992e-05, Train Acc: 0.9839661294728216
Test Loss: 0.004936588357537995, Test Acc: 0.9879814258399344
Train Loss: 8.665985633941355e-05, Train Acc: 0.9845943731220977
Test Loss: 0.004287998015771565, Test Acc: 0.9883911499590275
Train Loss: 8.512123003188961e-05, Train Acc: 0.9849221524173724
Test Loss: 0.004208215419170847, Test Acc: 0.9885823545479377
Train Loss: 9.563244012275958e-05, Train Acc: 0.98366566511882
Test Loss: 0.004915847087101397, Test Acc: 0.9875717017208413
Train Loss: 9.219598765450487e-05, Train Acc: 0.9838022398251843
Test Loss: 0.0045674066526860575, Test Acc: 0.988063370663753
Train Loss: 8.112015874350899e-05, Train Acc: 0.9848948374760994
Test Loss: 0.004208629078604386, Test Acc: 0.9883638350177547
Train Loss: 8.022601965430374e-05, Train Acc: 0.9854138213602841
Test Loss: 0.004053717022917954, Test Acc: 0.9885550396066648
Train Loss: 8.679227735418826e-05, Train Acc: 0.984321223709369
Test Loss: 0.004813330619652006, Test Acc: 0.988063370663753
Train Loss: 8.852774315533687e-05, Train Acc: 0.9845670581808249
Test Loss: 0.004258582807392517, Test Acc: 0.9888555039606665
