BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=21, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017578062738083681, Train Acc: 0.6208504801097394
Train Loss: 0.00022565105135344347, Train Acc: 0.9149519890260631
Test Loss: 0.012676628904905176, Test Acc: 0.9311385459533608
Train Loss: 0.00022053413938817829, Train Acc: 0.9135802469135802
Test Loss: 0.012756503523111506, Test Acc: 0.9289437585733882
Train Loss: 0.0002203529378698196, Train Acc: 0.91440329218107
Test Loss: 0.01232080784011811, Test Acc: 0.9319615912208504
Train Loss: 0.00021968379780261767, Train Acc: 0.9160493827160494
Test Loss: 0.01227695965329479, Test Acc: 0.9292181069958848
Train Loss: 0.00021755333609153378, Train Acc: 0.9160493827160494
Test Loss: 0.012223438889207254, Test Acc: 0.9316872427983539
Train Loss: 0.0002170420304165619, Train Acc: 0.9160493827160494
Test Loss: 0.012200492148291426, Test Acc: 0.934156378600823
Train Loss: 0.00021404594732946696, Train Acc: 0.9160493827160494
Test Loss: 0.012036175407285308, Test Acc: 0.9286694101508917
Train Loss: 0.00021675831187306936, Train Acc: 0.9149519890260631
Test Loss: 0.01223250047389331, Test Acc: 0.9319615912208504
Train Loss: 0.0002766026383258188, Train Acc: 0.9075445816186557
Test Loss: 0.01598462082690908, Test Acc: 0.9242798353909465
Train Loss: 0.00028770740446730405, Train Acc: 0.9072702331961591
Test Loss: 0.016281809419168694, Test Acc: 0.9237311385459533
Train Loss: 0.00024417902052974833, Train Acc: 0.908641975308642
Test Loss: 0.013299752209739266, Test Acc: 0.9308641975308642
Train Loss: 0.00021939573436464467, Train Acc: 0.9116598079561042
Test Loss: 0.012242979893335672, Test Acc: 0.9305898491083676
Train Loss: 0.0002102214658431024, Train Acc: 0.920164609053498
Test Loss: 0.012005290686726488, Test Acc: 0.9333333333333333
Train Loss: 0.0002122488308478203, Train Acc: 0.910562414266118
Test Loss: 0.011881421876634345, Test Acc: 0.9314128943758574
Train Loss: 0.00020914227294190104, Train Acc: 0.9149519890260631
Test Loss: 0.011682623452078985, Test Acc: 0.9322359396433471
Train Loss: 0.00020648067042906097, Train Acc: 0.9163237311385459
Test Loss: 0.011770030278175947, Test Acc: 0.9314128943758574
Train Loss: 0.00020576232024794252, Train Acc: 0.9168724279835391
Test Loss: 0.011637235825321801, Test Acc: 0.9305898491083676
Train Loss: 0.0002515892900618506, Train Acc: 0.9053497942386831
Test Loss: 0.02369933124064418, Test Acc: 0.9004115226337449
Train Loss: 0.0002495667043771845, Train Acc: 0.9113854595336077
Test Loss: 0.013037797021813721, Test Acc: 0.9311385459533608
