BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=21, bias=True)
  (act_func): Softmax(dim=1)
)
BiLSTMModel(
  (lstm): LSTM(100, 256, bidirectional=True)
  (attention_weights_layer): Sequential(
    (0): Linear(in_features=256, out_features=256, bias=True)
    (1): ReLU(inplace=True)
  )
  (liner): Linear(in_features=256, out_features=11, bias=True)
  (act_func): Softmax(dim=1)
)
Train Loss: 0.0017469681517756058, Train Acc: 0.8385534270522252
Test Loss: 0.103362274545056, Test Acc: 0.8813374125874126
Train Loss: 0.00010626064531475141, Train Acc: 0.9842668803263166
Test Loss: 0.10934436547250806, Test Acc: 0.8812281468531469
Train Loss: 0.00012121806239057023, Train Acc: 0.9828465292446645
Test Loss: 0.11094838656953998, Test Acc: 0.8765297202797203
Train Loss: 9.010950918465202e-05, Train Acc: 0.9859057469589919
Test Loss: 0.11619775273374744, Test Acc: 0.8788243006993007
Train Loss: 9.151617107290527e-05, Train Acc: 0.9857236506664724
Test Loss: 0.11601406809958545, Test Acc: 0.8821022727272727
Train Loss: 0.00010638135500385274, Train Acc: 0.9859421662174959
Test Loss: 0.11314591056165788, Test Acc: 0.8776223776223776
Train Loss: 0.00010312888066112216, Train Acc: 0.9843761381018282
Test Loss: 0.11819634811913633, Test Acc: 0.8789335664335665
Train Loss: 7.544586348876814e-05, Train Acc: 0.9868890669385971
Test Loss: 0.12168167303544242, Test Acc: 0.8853802447552448
Train Loss: 9.3538878260815e-05, Train Acc: 0.985541554373953
Test Loss: 0.12217606395691424, Test Acc: 0.8688811188811189
Train Loss: 8.480951869986551e-05, Train Acc: 0.986233520285527
Test Loss: 0.11736731205161635, Test Acc: 0.8835227272727273
Train Loss: 9.88099713954169e-05, Train Acc: 0.984448976618836
Test Loss: 0.11554653067923301, Test Acc: 0.8783872377622378
Train Loss: 7.6115463691599e-05, Train Acc: 0.9873989365576517
Test Loss: 0.12449557829804563, Test Acc: 0.8764204545454546
Train Loss: 6.591841757304987e-05, Train Acc: 0.9874717750746594
Test Loss: 0.12741141483656593, Test Acc: 0.8789335664335665
Train Loss: 8.447117395430923e-05, Train Acc: 0.9857600699249763
Test Loss: 0.11976328360607157, Test Acc: 0.8865821678321678
Train Loss: 8.912761631392347e-05, Train Acc: 0.9860150047345037
Test Loss: 0.1186787560582161, Test Acc: 0.8796984265734266
Train Loss: 7.779416308784937e-05, Train Acc: 0.9870711632311167
Test Loss: 0.12322128086083836, Test Acc: 0.8810096153846154
Train Loss: 7.972459379961618e-05, Train Acc: 0.9867069706460776
Test Loss: 0.11974065451251044, Test Acc: 0.8834134615384616
Train Loss: 7.896108652999582e-05, Train Acc: 0.9864884550950542
Test Loss: 0.1203688218395089, Test Acc: 0.8843968531468531
Train Loss: 7.621103147213029e-05, Train Acc: 0.9875446135916672
Test Loss: 0.11734726550904187, Test Acc: 0.8783872377622378
Train Loss: 6.39641383569931e-05, Train Acc: 0.9877995484011945
Test Loss: 0.12892436949939995, Test Acc: 0.8831949300699301
Train Loss: 7.038241878861172e-05, Train Acc: 0.9871440017481244
Test Loss: 0.1243545708174889, Test Acc: 0.8825393356643356
Train Loss: 9.375797925936597e-05, Train Acc: 0.9859421662174959
Test Loss: 0.11839787985061433, Test Acc: 0.8843968531468531
Train Loss: 7.030192015279333e-05, Train Acc: 0.9875081943331634
Test Loss: 0.11572560308162462, Test Acc: 0.8850524475524476
Train Loss: 5.962256287048857e-05, Train Acc: 0.9881637409862335
Test Loss: 0.12379937460059887, Test Acc: 0.8853802447552448
Train Loss: 8.282681610722533e-05, Train Acc: 0.9863063588025348
Test Loss: 0.1210571096662979, Test Acc: 0.8815559440559441
Train Loss: 7.482990316515791e-05, Train Acc: 0.9867069706460776
Test Loss: 0.1197855106287903, Test Acc: 0.884833916083916
Train Loss: 7.06073133545331e-05, Train Acc: 0.9872532595236361
Test Loss: 0.12224003915525192, Test Acc: 0.885708041958042
Train Loss: 7.38459959379588e-05, Train Acc: 0.9871075824896205
Test Loss: 0.12443712895566766, Test Acc: 0.8753277972027972
Train Loss: 6.378881412760411e-05, Train Acc: 0.9877631291426907
Test Loss: 0.126894821523578, Test Acc: 0.884833916083916
Train Loss: 6.531921992018957e-05, Train Acc: 0.9878359676596985
Test Loss: 0.12857272162043548, Test Acc: 0.8835227272727273
Train Loss: 5.9372435611877584e-05, Train Acc: 0.9885279335712724
Test Loss: 0.12711635655300182, Test Acc: 0.8777316433566433
Train Loss: 7.347620008814927e-05, Train Acc: 0.9869619054556049
Test Loss: 0.12048566568694957, Test Acc: 0.8814466783216783
Train Loss: 6.984690557164166e-05, Train Acc: 0.9876902906256828
Test Loss: 0.1230985491530045, Test Acc: 0.8849431818181818
